sale_id,datetime,amount,mode,app,utr_expected,note
52,2024-07-18 16:37,953.00,UPI,PHONEPE,2075,
53,2024-07-18 16:39,232.00,UPI,PHONEPE,8064,
54,2024-07-18 16:49,1940.00,UPI,PHONEPE,1084,
55,2024-07-18 16:48,759.00,UPI,PHONEPE,1805,
56,2024-07-18 17:16,2459.00,UPI,PHONEPE,6136,
57,2024-07-18 17:59,3132.00,UPI,PHONEPE,1366,
58,2024-07-18 17:26,2144.00,UPI,PHONEPE,1758,
59,2024-07-18 17:23,1031.00,UPI,PHONEPE,5195,
60,2024-07-18 17:09,2419.00,UPI,PHONEPE,3464,
61,2024-07-18 17:46,1044.00,UPI,PHONEPE,1688,
62,2024-07-18 17:02,3004.00,UPI,PHONEPE,3840,
63,2024-07-18 18:11,96.00,UPI,PHONEPE,9951,
64,2024-07-18 18:07,3155.00,UPI,PHONEPE,2840,
65,2024-07-18 18:54,2259.00,UPI,PHONEPE,6679,
66,2024-07-18 18:21,309.00,UPI,PHONEPE,5554,
67,2024-07-18 18:02,3100.00,UPI,PHONEPE,3544,
68,2024-07-18 18:11,1543.00,UPI,PHONEPE,2249,
69,2024-07-18 18:38,460.00,UPI,PHONEPE,4038,
70,2024-07-18 19:04,826.00,UPI,PHONEPE,5068,
71,2024-07-18 19:55,588.00,UPI,PHONEPE,8526,
72,2024-07-18 19:08,1356.00,UPI,PHONEPE,3719,
73,2024-07-18 19:24,1789.00,UPI,PHONEPE,1957,
74,2024-07-18 19:25,2523.00,UPI,PHONEPE,1645,
75,2024-07-18 19:02,684.00,UPI,PHONEPE,1165,
76,2024-07-18 19:00,1837.00,UPI,PHONEPE,4786,
77,2024-07-18 20:34,1555.00,UPI,PHONEPE,5463,
78,2024-07-18 20:04,89.00,UPI,PHONEPE,1765,
79,2024-07-18 20:34,403.00,UPI,PHONEPE,1464,
80,2024-07-18 20:24,3131.00,UPI,PHONEPE,9081,
81,2024-07-18 20:00,156.00,UPI,PHONEPE,8266,
82,2024-07-09 09:48,437.00,UPI,GPAY,8750,
83,2024-07-28 12:11,1521.00,UPI,GPAY,2423,
84,2024-07-20 09:08,1663.00,UPI,GPAY,8843,
85,2024-07-04 19:05,1952.00,UPI,GPAY,5120,
86,2024-07-23 20:04,1709.00,UPI,GPAY,7803,
87,2024-07-16 11:47,485.00,UPI,GPAY,3600,
88,2024-07-02 15:35,374.00,UPI,GPAY,4040,
89,2024-07-05 20:01,523.00,UPI,GPAY,6911,
90,2024-07-20 13:35,2387.00,UPI,GPAY,2448,
91,2024-07-06 17:25,2406.00,UPI,GPAY,2964,
92,2024-07-28 18:28,2024.00,UPI,GPAY,6971,
93,2024-07-06 10:23,1597.00,UPI,GPAY,2583,
94,2024-07-02 09:21,355.00,UPI,GPAY,1514,
95,2024-07-03 16:56,1722.00,UPI,GPAY,1798,
96,2024-07-10 14:13,1163.00,UPI,GPAY,6391,
97,2024-07-13 16:43,1406.00,UPI,GPAY,7902,
98,2024-07-28 19:58,956.00,UPI,GPAY,1097,
99,2024-07-27 19:25,367.00,UPI,GPAY,7567,
100,2024-07-01 17:01,2804.00,UPI,GPAY,5656,
101,2024-07-10 18:49,810.00,UPI,GPAY,1725,
102,2024-07-14 12:19,1674.00,UPI,GPAY,6369,
103,2024-07-21 20:15,504.00,UPI,GPAY,1532,
104,2024-07-04 20:33,1307.00,UPI,GPAY,5581,
105,2024-07-18 20:00,688.00,UPI,GPAY,9767,
106,2024-07-06 11:55,3189.00,UPI,GPAY,4238,
107,2024-07-21 11:23,1312.00,UPI,GPAY,9216,
108,2024-07-07 15:05,976.00,UPI,GPAY,1618,
109,2024-07-17 20:41,1195.00,UPI,GPAY,3281,
110,2024-07-06 20:51,1660.00,UPI,GPAY,9417,
111,2024-07-17 12:39,2155.00,UPI,GPAY,3341,
112,2024-07-04 12:32,3040.00,UPI,GPAY,1971,
113,2024-07-08 14:57,973.00,UPI,GPAY,4666,
114,2024-07-12 16:26,2430.00,UPI,GPAY,9440,
115,2024-07-24 17:42,160.00,UPI,GPAY,2673,
116,2024-07-08 13:12,2416.00,UPI,GPAY,2625,
117,2024-07-13 14:24,876.00,UPI,GPAY,9047,
118,2024-07-01 14:42,1512.00,UPI,GPAY,1086,
119,2024-07-15 13:02,1500.00,UPI,GPAY,92210,
120,2024-07-28 18:39,2070.00,UPI,GPAY,8815,
121,2024-07-22 17:22,743.00,UPI,GPAY,6642,
122,2024-07-09 16:30,1561.00,UPI,GPAY,8107,
123,2024-07-07 16:52,2479.00,UPI,GPAY,5301,
124,2024-07-27 15:43,1441.00,UPI,GPAY,1789,
125,2024-07-04 14:20,1041.00,UPI,GPAY,2789,
126,2024-07-13 17:46,361.00,UPI,GPAY,9489,
127,2024-07-14 13:32,1536.00,UPI,GPAY,2128,
128,2024-07-21 15:33,2357.00,UPI,GPAY,3792,
129,2024-07-17 15:28,1621.00,UPI,GPAY,1519,
130,2024-07-10 16:12,3136.00,UPI,GPAY,4747,
131,2024-07-03 14:41,2451.00,UPI,GPAY,8133,
132,2024-07-19 12:03,2760.00,UPI,GPAY,3566,
133,2024-07-02 16:20,1280.00,UPI,GPAY,6966,
134,2024-07-20 10:07,182.00,UPI,GPAY,8865,
135,2024-07-15 15:57,3128.00,UPI,GPAY,5397,
136,2024-07-24 14:42,67.00,UPI,GPAY,8421,
137,2024-07-10 18:39,1957.00,UPI,GPAY,5485,
138,2024-07-12 15:15,635.00,UPI,GPAY,7527,
139,2024-07-16 09:59,52.00,UPI,GPAY,6060,
140,2024-07-20 13:07,796.00,UPI,GPAY,6622,
141,2024-07-17 18:02,569.00,UPI,GPAY,2386,
142,2024-07-18 18:47,1850.00,UPI,PHONEPE,8842,customer screenshot success
143,2024-07-13 16:41,1749.00,UPI,GPAY,6717,
144,2024-07-25 12:32,158.00,UPI,GPAY,3985,
145,2024-07-09 13:23,545.00,UPI,GPAY,6012,
146,2024-07-21 15:28,1365.00,UPI,GPAY,3151,
147,2024-07-02 12:37,68.00,UPI,GPAY,2365,
148,2024-07-28 12:26,1362.00,UPI,GPAY,3534,
149,2024-07-08 11:12,2888.00,UPI,GPAY,9656,
150,2024-07-28 15:32,698.00,UPI,GPAY,7082,
151,2024-07-15 16:30,332.00,UPI,GPAY,2397,
152,2024-07-19 10:33,2554.00,UPI,GPAY,2286,
153,2024-07-09 11:54,2016.00,UPI,GPAY,2469,
154,2024-07-04 09:19,2776.00,UPI,GPAY,4890,
155,2024-07-04 10:40,62.00,UPI,GPAY,2380,
156,2024-07-13 17:28,446.00,UPI,GPAY,5956,
157,2024-07-16 09:49,2977.00,UPI,PAYTM,1405,
158,2024-07-21 20:22,273.00,UPI,PAYTM,1716,
159,2024-07-12 19:26,991.00,UPI,PAYTM,1798,
160,2024-07-22 18:09,1254.00,UPI,PAYTM,3414,
161,2024-07-25 17:29,1831.00,UPI,PAYTM,5559,
162,2024-07-04 14:52,3121.00,UPI,PAYTM,3673,
163,2024-07-12 17:45,1026.00,UPI,PAYTM,4142,
164,2024-07-04 09:19,1464.00,UPI,PAYTM,4533,
165,2024-07-23 09:22,1261.00,UPI,PAYTM,2551,
166,2024-07-06 15:30,186.00,UPI,PAYTM,4017,
167,2024-07-27 20:31,727.00,UPI,PAYTM,1083,
168,2024-07-15 11:10,415.00,UPI,PAYTM,1100,
169,2024-07-20 20:07,2684.00,UPI,PAYTM,8115,
170,2024-07-06 10:48,703.00,UPI,PAYTM,8450,
171,2024-07-09 14:37,1700.00,UPI,PAYTM,6871,
172,2024-07-15 10:32,198.00,UPI,PAYTM,8735,
173,2024-07-20 19:38,3025.00,UPI,PAYTM,5352,
174,2024-07-13 12:12,434.00,UPI,PAYTM,3437,
175,2024-07-07 17:42,2110.00,UPI,PAYTM,8829,
176,2024-07-01 10:32,503.00,UPI,PAYTM,2655,
177,2024-07-09 09:34,57.00,UPI,PAYTM,7983,
178,2024-07-06 19:14,2822.00,UPI,PAYTM,2524,
179,2024-07-18 19:55,1322.00,UPI,PAYTM,6045,
180,2024-07-21 19:12,850.00,UPI,PAYTM,75517,
181,2024-07-01 14:16,2963.00,UPI,PAYTM,9363,
182,2024-07-07 20:06,2309.00,UPI,PAYTM,7437,
183,2024-07-08 20:17,119.00,UPI,PAYTM,5982,
184,2024-07-26 09:01,2629.00,UPI,PAYTM,2164,
185,2024-07-16 19:26,678.00,UPI,PAYTM,3061,
186,2024-07-09 11:41,1990.00,UPI,PAYTM,7087,
187,2024-07-26 11:16,3023.00,UPI,PAYTM,9923,
188,2024-07-07 10:25,635.00,UPI,PAYTM,5077,
189,2024-07-12 14:39,1001.00,UPI,PAYTM,8516,
190,2024-07-25 13:09,634.00,UPI,PAYTM,1322,
191,2024-07-23 19:25,1360.00,UPI,PAYTM,7657,
192,2024-07-03 10:34,2207.00,UPI,PAYTM,6275,
193,2024-07-04 15:23,246.00,UPI,PAYTM,8852,
194,2024-07-03 15:58,344.00,UPI,PAYTM,4586,
195,2024-07-17 11:02,2806.00,UPI,PAYTM,9717,
196,2024-07-02 20:53,2291.00,UPI,PAYTM,6453,
197,2024-07-09 10:55,2752.00,UPI,PAYTM,1951,
198,2024-07-16 16:00,1962.00,UPI,PAYTM,9857,
199,2024-07-09 11:13,2223.00,UPI,PAYTM,6003,
200,2024-07-25 17:04,2971.00,UPI,PAYTM,4157,
201,2024-07-13 18:58,2541.00,UPI,PAYTM,2599,
202,2024-07-23 19:10,2944.00,UPI,PAYTM,5138,
203,2024-07-24 10:45,2582.00,UPI,PAYTM,4196,
204,2024-07-20 14:30,420.00,UPI,PAYTM,,payment pending confirmation
