txn_id,datetime,particulars,type,amount,status,utr
PP100058,2024-07-18 17:23,UPI/CR/5195/Customer,CREDIT,1031.00,SETTLED,5195
PP100059,2024-07-18 17:09,UPI/CR/3464/Customer,CREDIT,2419.00,SETTLED,3464
PP100060,2024-07-18 17:46,UPI/CR/1688/Customer,CREDIT,1044.00,SETTLED,1688
PP100061,2024-07-18 17:02,UPI/CR/3840/Customer,CREDIT,3004.00,SETTLED,3840
PP100062,2024-07-18 18:11,UPI/CR/9951/Customer,CREDIT,96.00,SETTLED,9951
PP100063,2024-07-18 18:07,UPI/CR/2840/Customer,CREDIT,3155.00,SETTLED,2840
PP100064,2024-07-18 18:54,UPI/CR/6679/Customer,CREDIT,2259.00,SETTLED,6679
PP100065,2024-07-18 18:21,UPI/CR/5554/Customer,CREDIT,309.00,SETTLED,5554
PP100066,2024-07-18 18:02,UPI/CR/3544/Customer,CREDIT,3100.00,SETTLED,3544
PP100067,2024-07-18 18:11,UPI/CR/2249/Customer,CREDIT,1543.00,SETTLED,2249
PP100068,2024-07-18 18:38,UPI/CR/4038/Customer,CREDIT,460.00,SETTLED,4038
PP100069,2024-07-18 19:04,UPI/CR/5068/Customer,CREDIT,826.00,SETTLED,5068
PP100070,2024-07-18 19:55,UPI/CR/8526/Customer,CREDIT,588.00,SETTLED,8526
PP100071,2024-07-18 19:08,UPI/CR/3719/Customer,CREDIT,1356.00,SETTLED,3719
PP100072,2024-07-18 19:24,UPI/CR/1957/Customer,CREDIT,1789.00,SETTLED,1957
PP100073,2024-07-18 19:25,UPI/CR/1645/Customer,CREDIT,2523.00,SETTLED,1645
PP100074,2024-07-18 19:02,UPI/CR/1165/Customer,CREDIT,684.00,SETTLED,1165
PP100075,2024-07-18 19:00,UPI/CR/4786/Customer,CREDIT,1837.00,SETTLED,4786
PP100076,2024-07-18 20:34,UPI/CR/5463/Customer,CREDIT,1555.00,SETTLED,5463
PP100077,2024-07-18 20:04,UPI/CR/1765/Customer,CREDIT,89.00,SETTLED,1765
PP100078,2024-07-18 20:34,UPI/CR/1464/Customer,CREDIT,403.00,SETTLED,1464
PP100079,2024-07-18 20:24,UPI/CR/9081/Customer,CREDIT,3131.00,SETTLED,9081
PP100080,2024-07-18 20:00,UPI/CR/8266/Customer,CREDIT,156.00,SETTLED,8266
PP100081,2024-07-18 20:21,UPI/CR/4472/Customer,CREDIT,840.00,SETTLED,4472
